listing_id,market,country,archetype,property_type,bedrooms,capacity,base_price,is_superhost,review_score,num_reviews,instant_book,wifi,air_conditioning,pool,parking,kitchen,lat,lon,host_since
2000857,Ward 54,ZA,entire_home,Entire rental unit,2,5,1502.0,False,4.89,140,False,True,False,False,True,True,-33.92431,18.37962,2013-11-27
2015634,Ward 54,ZA,entire_home,Entire villa,5,10,9900.0,False,4.78,59,True,True,False,True,True,True,-33.960269927978516,18.375572204589844,2018-05-02
2021476,Ward 55,ZA,entire_home,Entire rental unit,1,2,386.0,False,4.09,11,False,True,False,False,False,True,-33.88121,18.49178,2013-12-02
2072916,Ward 77,ZA,private_room,Private room in home,1,2,772.0,True,4.9,63,True,True,False,False,True,True,-33.92058,18.41529,2013-04-24
2147358,Ward 54,ZA,entire_home,Entire rental unit,1,2,1219.0,True,4.76,97,False,True,False,True,True,False,-33.96055,18.37761,2013-12-23
2148527,Ward 54,ZA,entire_home,Entire rental unit,1,2,1524.0,True,4.78,54,False,True,False,True,True,False,-33.96076,18.37842,2013-12-23
2206570,Ward 54,ZA,entire_home,Entire rental unit,1,2,1502.0,False,4.54,13,False,True,True,False,True,True,-33.963,18.38133,2012-02-26
2301577,Ward 64,ZA,entire_home,Entire rental unit,1,2,878.0,False,4.88,8,False,True,False,True,True,True,-34.13255,18.40939,2014-01-29
2309049,Ward 54,ZA,entire_home,Entire home,4,8,4797.0,True,4.91,116,False,True,False,True,True,True,-33.9553,18.37929,2014-01-29
2635024,Ward 77,ZA,entire_home,Entire condo,1,2,990.0,False,5.0,7,False,True,False,True,False,True,-33.93618,18.41708,2014-02-05
2646397,Ward 54,ZA,entire_home,Entire guest suite,3,6,3266.0,True,4.96,84,False,True,False,True,True,True,-33.96301,18.37606,2014-03-26
2655966,Ward 54,ZA,entire_home,Entire guest suite,3,6,5360.0,True,4.95,542,False,True,False,True,True,True,-33.96301,18.37606,2014-03-26
2675493,Ward 115,ZA,entire_home,Entire rental unit,1,2,1502.0,False,4.86,37,False,True,True,True,True,True,-33.91304,18.4174,2014-03-26
2767933,Ward 77,ZA,entire_home,Entire home,4,10,12000.0,False,5.0,5,False,True,False,True,True,True,-33.93862,18.42005,2013-10-14
2952071,Ward 23,ZA,entire_home,Entire guest suite,1,2,815.0,False,4.95,20,False,True,False,False,True,True,-33.81399,18.47517,2014-05-04
3096547,Ward 54,ZA,entire_home,Entire rental unit,2,4,2643.0,True,4.91,120,False,True,True,True,True,True,-33.95591,18.38397,2013-01-21
3189408,Ward 4,ZA,entire_home,Entire rental unit,1,2,4320.0,False,4.8,10,True,True,False,True,True,True,-33.8569,18.48995,2013-09-23
3189561,Ward 4,ZA,entire_home,Entire rental unit,1,2,1502.0,False,5.0,3,True,True,False,True,True,True,-33.8569,18.48995,2013-09-23
3268996,Ward 54,ZA,entire_home,Entire rental unit,2,4,3086.0,True,4.88,171,False,True,False,False,True,True,-33.92969,18.37926,2014-06-08
3276210,Ward 115,ZA,entire_home,Entire rental unit,1,2,1034.0,False,4.33,6,True,True,False,False,True,True,-33.92425,18.42144,2013-03-18
3286506,Ward 74,ZA,entire_home,Entire home,2,4,1502.0,False,4.5,6,False,True,True,True,True,True,-34.02526,18.36912,2014-06-10
3608595,Ward 77,ZA,entire_home,Entire rental unit,1,2,1488.0,False,4.52,21,False,True,False,True,True,True,-33.92004,18.41629,2014-07-16
3628501,Ward 64,ZA,entire_home,Entire home,2,4,3563.0,False,4.81,26,False,True,False,False,True,True,-34.12467,18.44886,2014-07-17
3632364,Ward 105,ZA,private_room,Other,1,2,1502.0,False,5.0,1,False,True,False,False,True,True,-33.80959,18.62103,2012-06-05
3704050,Ward 54,ZA,private_room,Private room in home,1,2,284.0,True,4.56,16,False,True,False,False,True,True,-33.92553,18.37967,2014-07-25
3740207,Ward 74,ZA,entire_home,Entire cottage,1,3,950.0,True,4.66,44,False,True,False,True,True,True,-34.03043,18.34742,2014-07-29
3755988,Ward 74,ZA,private_room,Private room in home,1,2,630.0,False,4.82,255,True,True,False,True,True,True,-34.01178,18.33852,2014-05-16
3773489,Ward 54,ZA,entire_home,Entire rental unit,1,2,1385.0,False,4.84,51,False,True,False,False,True,True,-33.91366,18.39204,2014-07-08
3778905,Ward 74,ZA,entire_home,Entire guest suite,1,2,787.0,True,4.95,22,False,True,False,False,True,True,-34.04161,18.37009,2014-08-03
3990090,Ward 74,ZA,entire_home,Entire home,2,5,1502.0,False,4.89,0,False,True,False,True,True,True,-34.01636,18.35752,2014-08-29
4043468,Ward 74,ZA,entire_home,Entire cottage,1,2,3650.0,False,4.85,34,False,True,False,True,True,True,-34.01685,18.35042,2013-04-29
4114927,Ward 54,ZA,entire_home,Entire home,4,8,14358.0,True,4.87,138,False,True,True,True,True,True,-33.947266,18.37816,2012-11-22
4132204,Ward 77,ZA,entire_home,Entire home,4,6,10165.0,False,5.0,9,False,True,False,True,True,True,-33.94216,18.40806,2014-08-25
4194678,Ward 62,ZA,entire_home,Entire home,4,8,8000.0,False,4.9,20,False,True,False,True,True,True,-34.00159,18.42969,2014-05-18
4216871,Ward 74,ZA,entire_home,Entire guest suite,1,1,511.0,True,4.93,43,False,True,False,False,True,True,-34.02245,18.37196,2014-07-02
4228894,Ward 59,ZA,entire_home,Entire home,4,8,6500.0,False,5.0,13,False,True,True,True,True,True,-33.99125,18.45848,2012-09-23
4266362,Ward 23,ZA,private_room,Private room in home,1,2,920.0,False,4.0,4,False,True,False,True,True,True,-33.816624,18.476149,2014-10-05
4268873,Ward 55,ZA,entire_home,Entire condo,1,4,1502.0,True,4.69,67,False,True,False,True,True,True,-33.88292,18.51452,2014-10-05
4301603,Ward 23,ZA,entire_home,Entire home,2,4,2486.0,True,4.97,74,False,True,False,True,True,True,-33.72174,18.4436,2014-10-09
4309526,Ward 61,ZA,entire_home,Entire rental unit,2,5,1388.0,False,4.68,90,False,True,False,False,True,True,-34.20785,18.4548,2014-10-10
4321498,Ward 62,ZA,entire_home,Entire rental unit,1,2,906.0,True,4.79,14,False,True,True,False,True,True,-34.01091,18.44222,2014-06-12
4340008,Ward 54,ZA,entire_home,Entire condo,1,2,1679.0,False,4.63,19,False,True,False,False,True,True,-33.91775,18.39312,2014-10-08
4340144,Ward 115,ZA,entire_home,Entire rental unit,2,4,1350.0,False,4.67,100,False,True,True,True,True,True,-33.92876,18.42176,2014-06-08
4357756,Ward 77,ZA,entire_home,Entire home,1,2,1500.0,False,5.0,1,False,True,False,False,False,True,-33.91766,18.41651,2014-10-16
4397056,Ward 74,ZA,entire_home,Entire home,4,8,6171.0,False,4.64,33,False,True,False,True,True,True,-34.02382,18.36838,2014-10-22
4449490,Ward 77,ZA,private_room,Private room in home,1,2,1000.0,False,4.91,92,False,True,True,False,True,True,-33.93322,18.41967,2013-07-04
4458181,Ward 61,ZA,entire_home,Entire rental unit,2,3,1439.0,True,4.94,366,False,True,False,True,True,True,-34.14151,18.32824,2014-10-30
4486991,Ward 54,ZA,entire_home,Entire villa,4,8,12000.0,False,4.51,53,False,True,True,True,True,True,-33.96261,18.37848,2014-11-03
4499002,Ward 115,ZA,entire_home,Entire rental unit,1,3,1252.0,True,4.81,84,False,True,False,True,True,True,-33.90676,18.4014,2014-11-04
4526096,Ward 54,ZA,private_room,Private room in home,1,2,729.0,True,4.92,126,False,True,False,True,True,True,-33.95864,18.38011,2012-01-08
4543142,Ward 54,ZA,entire_home,Entire rental unit,2,4,2386.0,True,4.9,62,False,True,False,False,False,True,-33.911591239496175,18.389316797256473,2014-11-10
4551049,Ward 73,ZA,entire_home,Entire home,3,5,3742.0,False,4.96,28,False,True,False,True,True,True,-34.03547,18.45273,2014-11-10
4560714,Ward 77,ZA,entire_home,Entire home,3,5,3286.0,False,4.92,24,False,True,False,False,True,True,-33.93552,18.42653,2012-06-06
4560984,Ward 115,ZA,entire_home,Entire rental unit,1,2,819.0,False,4.78,9,False,True,False,False,False,True,-33.91798,18.41809,2014-11-12
4569933,Ward 115,ZA,entire_home,Entire rental unit,1,2,1194.0,True,4.85,310,False,True,False,False,True,True,-33.91082,18.40627,2014-08-27
4576887,Ward 61,ZA,private_room,Private room in bed and breakfast,1,2,1853.0,False,4.77,22,False,True,True,False,True,True,-34.19535,18.43926,2014-11-14
4578856,Ward 77,ZA,entire_home,Entire home,3,8,2902.0,False,4.89,65,True,True,False,False,True,True,-33.92905,18.40327,2014-11-14
4594058,Ward 77,ZA,entire_home,Entire rental unit,1,2,1450.0,False,4.85,106,False,True,False,False,True,True,-33.92633,18.40656,2014-11-16
4617890,Ward 74,ZA,entire_home,Entire villa,4,8,7029.0,False,4.4,10,False,True,False,True,True,True,-34.03528,18.34463,2014-11-19
4680689,Ward 74,ZA,entire_home,Entire home,3,6,5136.0,False,4.83,6,False,True,True,True,True,True,-34.01777,18.38608,2014-11-26
4722017,Ward 77,ZA,entire_home,Entire rental unit,1,2,1502.0,False,4.0,1,False,True,False,False,True,True,-33.94068,18.42345,2014-12-02
4727703,Ward 64,ZA,entire_home,Entire home,2,4,800.0,False,4.0,4,False,False,False,False,True,True,-34.13147,18.41222,2014-07-26
4762247,Ward 59,ZA,private_room,Private room in home,1,2,703.0,True,4.86,91,False,True,False,False,True,False,-33.95949,18.46742,2014-12-07
4763947,Ward 74,ZA,entire_home,Entire home,4,7,15749.0,False,5.0,10,False,True,True,True,True,True,-34.02478,18.34364,2014-01-17
4798386,Ward 115,ZA,entire_home,Entire rental unit,3,6,14000.0,True,4.84,86,False,True,True,True,True,True,-33.90935,18.41691,2014-12-11
4812650,Ward 115,ZA,entire_home,Entire rental unit,1,2,1469.0,False,4.8,5,True,True,False,False,True,True,-33.91124,18.40478,2014-12-05
4822951,Ward 77,ZA,entire_home,Entire rental unit,1,2,629.0,False,4.88,52,False,True,False,True,True,True,-33.93574,18.43416,2014-12-14
4851554,Ward 54,ZA,entire_home,Entire home,4,8,41343.0,True,5.0,2,False,True,True,True,True,True,-33.92162,18.38631,2014-12-18
4860778,Ward 23,ZA,private_room,Private room in home,1,2,723.0,True,4.88,25,False,True,False,True,True,True,-33.80418,18.46688,2014-04-14
4877009,Ward 62,ZA,entire_home,Entire home,4,7,8500.0,False,5.0,30,False,True,False,True,True,True,-33.98482,18.44291,2014-12-22
4887141,Ward 83,ZA,entire_home,Entire rental unit,1,4,720.0,False,4.84,31,False,True,False,False,True,True,-34.11254,18.82233,2014-11-19
4937865,Ward 77,ZA,entire_home,Entire rental unit,2,6,1419.0,False,4.83,12,False,True,False,False,True,True,-33.92817,18.40512,2012-07-21
5028556,Ward 15,ZA,entire_home,Entire guest suite,1,2,1536.0,False,4.85,26,False,True,False,True,True,True,-34.07063,18.84399,2015-01-11
5047314,Ward 64,ZA,entire_home,Entire home,3,6,1490.0,False,4.62,26,True,True,False,False,True,True,-34.09902,18.47467,2014-08-04
5148889,Ward 54,ZA,entire_home,Entire villa,6,12,18386.0,True,4.97,77,False,True,True,True,True,True,-33.94834,18.38223,2015-01-24
5149153,Ward 69,ZA,entire_home,Entire home,2,5,3047.0,False,4.75,4,False,True,False,True,True,True,-34.13877,18.39291,2015-01-23
5200703,Ward 70,ZA,entire_home,Entire rental unit,1,3,1851.0,False,4.6,42,False,False,False,True,True,True,-33.87348,18.61554,2015-01-29
5269233,Ward 74,ZA,entire_home,Entire villa,4,8,12412.0,False,4.97,71,False,True,True,True,True,True,-34.01205,18.33589,2015-02-05
5283241,Ward 54,ZA,entire_home,Entire rental unit,2,4,3780.0,False,4.91,47,False,True,False,True,True,True,-33.94827,18.38324,2014-12-09
5310505,Ward 69,ZA,entire_home,Entire home,4,8,10000.0,False,5.0,5,False,True,False,True,True,True,-34.10276,18.39047,2014-12-14
5316070,Ward 54,ZA,entire_home,Entire home,3,6,18615.0,True,4.92,71,False,True,True,True,True,True,-33.94917,18.38068,2015-02-10
5316108,Ward 54,ZA,entire_home,Entire rental unit,1,2,3358.0,True,4.84,57,False,True,True,False,True,True,-33.94776,18.38204,2015-02-10
5323318,Ward 64,ZA,private_room,Private room in guest suite,1,2,650.0,True,4.95,173,True,True,False,False,True,False,-34.13238,18.40748,2015-02-11
5330276,Ward 4,ZA,entire_home,Entire guest suite,1,2,1033.0,False,4.7,64,False,True,False,False,True,True,-33.85533,18.4951,2015-02-12
5387334,Ward 54,ZA,private_room,Private room in home,1,2,1080.0,False,4.91,46,False,True,False,True,True,False,-33.92772,18.38046,2015-02-18
5438165,Ward 69,ZA,entire_home,Entire home,1,2,890.0,False,4.61,109,False,True,False,True,True,True,-34.10108,18.36329,2015-02-23
5442946,Ward 77,ZA,entire_home,Entire guest suite,1,2,907.0,True,4.96,93,False,True,False,False,True,False,-33.94251,18.40688,2014-02-18
5461009,Ward 61,ZA,entire_home,Entire rental unit,2,3,519.0,True,4.77,74,False,True,False,False,True,True,-34.1389,18.32869,2014-01-21
5501238,Ward 64,ZA,entire_home,Entire home,2,4,1485.0,False,4.8,20,False,True,False,False,True,True,-34.14428,18.43337,2015-01-31
5584372,Ward 115,ZA,entire_home,Entire rental unit,2,4,1130.0,False,4.83,204,False,True,False,False,True,True,-33.9110578,18.4148021,2014-07-04
5645830,Ward 54,ZA,private_room,Private room in home,1,2,878.0,True,4.91,89,True,True,False,True,True,False,-33.92515,18.38521,2014-11-10
5645908,Ward 54,ZA,private_room,Private room in home,1,2,878.0,True,4.81,139,True,True,False,True,True,False,-33.92497,18.38593,2014-11-10
5735386,Ward 61,ZA,entire_home,Entire rental unit,3,6,1502.0,False,4.89,0,False,False,False,False,True,True,-34.19705,18.44619,2015-03-21
5751564,Ward 54,ZA,entire_home,Entire home,5,10,10000.0,False,4.89,0,False,True,True,True,False,True,-33.92338,18.38898,2015-03-23
5763346,Ward 77,ZA,private_room,Private room in home,1,2,1502.0,False,4.77,97,False,True,False,False,True,True,-33.91548,18.41346,2015-03-24
5915075,Ward 115,ZA,entire_home,Entire rental unit,1,2,661.0,True,4.86,286,False,True,False,True,True,True,-33.92217,18.42005,2015-02-07
5923540,Ward 107,ZA,entire_home,Entire home,2,4,1502.0,False,4.38,8,False,True,False,False,True,True,-33.82473,18.47803,2015-04-07
5960571,Ward 100,ZA,entire_home,Entire rental unit,1,4,950.0,False,4.5,4,False,True,False,False,True,True,-34.16056,18.86963,2015-04-10
5984872,Ward 54,ZA,private_room,Private room in home,1,2,1358.0,False,4.68,88,False,True,False,True,True,False,-33.96138,18.3778,2015-04-12
5998257,Ward 115,ZA,entire_home,Entire rental unit,1,1,1502.0,False,5.0,6,False,True,False,False,True,True,-33.90934,18.40298,2015-04-13
6015828,Ward 54,ZA,entire_home,Entire home,2,4,7000.0,False,5.0,1,False,True,False,True,True,True,-33.92175,18.3882,2014-11-16
6016341,Ward 77,ZA,entire_home,Entire home,4,8,15000.0,False,5.0,16,False,True,False,True,True,True,-33.92711,18.40262,2015-04-14
6028911,Ward 73,ZA,entire_home,Entire loft,1,2,1100.0,True,4.89,107,False,True,True,True,True,True,-34.04426,18.45915,2012-07-21
6100396,Ward 113,ZA,private_room,Private room in home,2,2,289.0,False,5.0,1,False,True,False,False,True,True,-33.82584,18.50279,2013-04-07
6115394,Ward 115,ZA,private_room,Private room in bed and breakfast,1,2,2025.0,False,5.0,2,False,True,False,True,True,True,-33.91219,18.40738,2011-05-27
6125004,Ward 54,ZA,entire_home,Entire serviced apartment,2,4,3086.0,False,4.95,39,False,True,False,True,True,True,-33.9293,18.37696,2015-04-23
6181632,Ward 59,ZA,entire_home,Entire rental unit,1,2,1237.0,True,4.97,30,False,True,False,False,True,True,-33.98294,18.45766,2015-03-21
6227493,Ward 115,ZA,entire_home,Entire condo,1,1,706.0,False,4.55,31,False,True,False,False,False,True,-33.92503,18.41527,2011-06-05
